FECHA;positivos;nue_posi;muj_posi;hom_posi;extranj_posi;costar_posi;investig_posi;adul_posi;am_posi;menor_posi;fallecidos;nue_falleci;muj_fall;hom_fall;RECUPERADOS;NUE_RECUP;DIA_COVID19;activos;letalidad;por_recup;por_activ
10/3/2020;13;1;7;6;3;10;0;9;2;2;0;0;0;0;0;0;4;13;0;0;100
11/3/2020;22;9;14;8;3;19;0;18;2;2;0;0;0;0;0;0;5;22;0;0;100
12/3/2020;23;1;14;9;3;20;0;19;2;2;0;0;0;0;0;0;6;23;0;0;100
13/3/2020;26;3;14;12;3;23;0;21;3;2;0;0;0;0;0;0;7;26;0;0;100
14/3/2020;27;1;15;12;4;23;0;22;3;2;0;0;0;0;0;0;8;27;0;0;100
15/3/2020;35;8;19;16;5;30;0;28;3;4;0;0;0;0;0;0;9;35;0;0;100
16/3/2020;41;6;20;21;6;35;0;32;5;4;0;0;0;0;0;0;10;41;0;0;100
17/3/2020;50;9;24;26;6;44;0;40;6;4;0;0;0;0;0;0;11;50;0;0;100
18/3/2020;69;19;30;39;6;63;0;57;7;5;0;0;0;0;0;0;12;69;0;0;100
19/3/2020;87;18;35;52;8;79;0;73;7;7;1;1;0;1;0;0;13;86;1,15;0;98,85
20/3/2020;113;26;46;67;9;104;0;97;9;7;2;1;0;2;0;0;14;111;1,77;0;98,23
21/3/2020;117;4;48;69;10;107;0;100;10;7;2;0;0;2;2;2;15;113;1,71;1,71;96,58
22/3/2020;134;17;55;79;17;117;0;113;14;7;2;0;0;2;2;0;16;130;1,49;1,49;97,01
23/3/2020;158;24;68;90;17;141;0;135;16;7;2;0;0;2;2;0;17;154;1,27;1,27;97,47
24/3/2020;177;19;74;103;18;159;0;154;16;7;2;0;0;2;2;0;18;173;1,13;1,13;97,74
25/3/2020;201;24;84;117;18;183;0;177;17;7;2;0;0;2;2;0;19;197;1;1;98,01
26/3/2020;231;30;101;130;18;209;4;204;19;8;2;0;0;2;2;0;20;227;0,87;0,87;98,27
27/3/2020;263;32;121;142;20;241;2;233;22;8;2;0;0;2;3;1;21;258;0,76;1,14;98,1
28/3/2020;295;32;138;157;21;272;2;263;22;10;2;0;0;2;3;0;22;290;0,68;1,02;98,31
29/3/2020;314;19;150;164;24;290;0;280;22;12;2;0;0;2;3;0;23;309;0,64;0,96;98,41
30/3/2020;330;16;160;170;27;303;0;293;24;13;2;0;0;2;4;1;24;324;0,61;1,21;98,18
31/3/2020;347;17;167;180;27;320;0;309;24;14;2;0;0;2;4;0;25;341;0,58;1,15;98,27
1/4/2020;375;28;181;194;29;346;0;337;24;14;2;0;0;2;4;0;26;369;0,53;1,07;98,4
2/4/2020;396;21;192;204;30;366;0;356;26;14;2;0;0;2;6;2;27;388;0,51;1,52;97,98
3/4/2020;416;20;201;215;31;385;0;373;27;16;2;0;0;2;11;5;28;403;0,48;2,64;96,88
4/4/2020;435;19;212;223;31;404;0;392;28;15;2;0;0;2;13;2;29;420;0,46;2,99;96,55
5/4/2020;454;19;222;232;31;423;0;411;28;15;2;0;0;2;16;3;30;436;0,44;3,52;96,04
6/4/2020;467;13;227;240;32;435;0;422;29;16;2;0;0;2;18;2;31;447;0,43;3,85;95,72
7/4/2020;483;16;237;246;34;449;0;437;29;17;2;0;0;2;24;6;32;457;0,41;4,97;94,62
8/4/2020;502;19;243;259;34;468;0;455;29;18;2;0;0;2;29;5;33;471;0,4;5,78;93,82
9/4/2020;539;37;259;280;34;505;0;492;29;18;3;1;0;3;30;1;34;506;0,56;5,57;93,88
10/4/2020;558;19;269;289;34;524;0;508;30;20;3;0;0;3;42;12;35;513;0,54;7,53;91,94
11/4/2020;577;19;277;300;36;541;0;526;31;20;3;0;0;3;49;7;36;525;0,52;8,49;90,99
12/4/2020;595;18;285;310;38;557;0;542;31;22;3;0;0;3;56;7;37;536;0,5;9,41;90,08
13/4/2020;612;17;295;317;43;569;0;557;31;24;3;0;0;3;62;6;38;547;0,49;10,13;89,38
14/4/2020;618;6;298;320;43;575;0;562;31;25;3;0;0;3;66;4;39;549;0,49;10,68;88,83
15/4/2020;626;8;302;324;43;583;0;570;31;25;4;1;0;4;67;1;40;555;0,64;10,7;88,66
16/4/2020;642;16;308;334;51;591;0;583;31;28;4;0;0;4;74;7;41;564;0,62;11,53;87,85
17/4/2020;649;7;312;337;54;595;0;588;31;30;4;0;0;4;88;14;42;557;0,62;13,56;85,82
18/4/2020;655;6;314;341;55;600;0;594;31;30;4;0;0;4;97;9;43;554;0,61;14,81;84,58
19/4/2020;660;5;317;343;56;604;0;596;32;32;4;0;0;4;112;15;44;544;0,61;16,97;82,42
20/4/2020;662;2;317;345;56;606;0;598;32;32;6;2;0;6;124;12;45;532;0,91;18,73;80,36
21/4/2020;669;7;320;349;58;611;0;602;33;34;6;0;0;6;150;26;46;513;0,9;22,42;76,68
22/4/2020;681;12;326;355;65;616;0;613;34;34;6;0;0;6;180;30;47;495;0,88;26,43;72,69
23/4/2020;686;5;328;358;67;619;0;617;35;34;6;0;0;6;196;16;48;484;0,87;28,57;70,55
24/4/2020;687;1;328;359;67;620;0;618;35;34;6;0;0;6;216;20;49;465;0,87;31,44;67,69
25/4/2020;693;6;333;360;67;626;0;624;35;34;6;0;0;6;242;26;50;445;0,87;34,92;64,21
26/4/2020;695;2;334;361;67;628;0;625;36;34;6;0;0;6;264;22;51;425;0,86;37,99;61,15
27/4/2020;697;2;334;363;69;628;0;626;36;35;6;0;0;6;287;23;52;404;0,86;41,18;57,96
28/4/2020;705;8;336;369;69;636;0;632;38;35;6;0;0;6;306;19;53;393;0,85;43,4;55,74
29/4/2020;713;8;340;373;71;642;0;638;38;37;6;0;0;6;323;17;54;384;0,84;45,3;53,86
30/4/2020;719;6;341;378;72;647;0;643;38;38;6;0;0;6;338;15;55;375;0,83;47,01;52,16
1/5/2020;725;6;346;379;74;651;0;649;38;38;6;0;0;6;355;17;56;364;0,83;48,97;50,21
2/5/2020;733;8;351;382;76;657;0;655;38;40;6;0;0;6;372;17;57;355;0,82;50,75;48,43
3/5/2020;739;6;352;387;79;660;0;661;38;40;6;0;0;6;386;14;58;347;0,81;52,23;46,96
4/5/2020;742;3;352;390;79;663;0;664;38;40;6;0;0;6;399;13;59;337;0,81;53,77;45,42
5/5/2020;755;13;352;403;91;664;0;677;38;40;6;0;0;6;413;14;60;336;0,79;54,7;44,5
6/5/2020;761;6;356;405;91;670;0;682;38;41;6;0;0;6;428;15;61;327;0,79;56,24;42,97
7/5/2020;765;4;358;407;92;673;0;686;38;41;6;0;0;6;445;17;62;314;0,78;58,17;41,05
8/5/2020;773;8;364;409;94;679;0;693;39;41;6;0;0;6;461;16;63;306;0,78;59,64;39,59
9/5/2020;780;7;367;413;98;682;0;699;40;41;6;0;0;6;480;19;64;294;0,77;61,54;37,69
10/5/2020;792;12;369;423;106;686;0;709;41;42;6;0;0;6;501;21;65;285;0,76;63,26;35,98
11/5/2020;801;9;373;428;113;688;0;718;41;42;7;1;0;7;517;16;66;277;0,87;64,54;34,58
12/5/2020;804;3;374;430;113;691;0;720;41;43;7;0;0;7;520;3;67;277;0,87;64,68;34,45
13/5/2020;815;11;377;438;120;695;0;730;41;44;7;0;0;7;527;7;68;281;0,86;64,66;34,48
14/5/2020;830;15;380;450;128;702;0;744;41;45;8;1;0;8;535;8;69;287;0,96;64,46;34,58
15/5/2020;843;13;384;459;131;712;0;751;43;49;8;0;0;8;542;7;70;293;0,95;64,29;34,76
16/5/2020;853;10;387;466;136;717;0;758;43;52;10;2;1;9;551;9;71;292;1,17;64,6;34,23
17/5/2020;863;10;393;470;138;725;0;768;43;52;10;0;1;9;565;14;72;288;1,16;65,47;33,37
18/5/2020;866;3;395;471;140;726;0;771;43;52;10;0;1;9;575;10;73;281;1,15;66,4;32,45
19/5/2020;882;16;405;477;147;735;0;782;45;55;10;0;1;9;577;2;74;295;1,13;65,42;33,45
20/5/2020;897;15;414;483;155;742;0;797;45;55;10;0;1;9;582;5;75;305;1,11;64,88;34
21/5/2020;903;6;417;486;158;745;0;802;46;55;10;0;1;9;592;10;76;301;1,11;65,56;33,33
22/5/2020;911;8;421;490;160;751;0;807;48;56;10;0;1;9;600;8;77;301;1,1;65,86;33,04
23/5/2020;918;7;425;493;161;757;0;811;49;58;10;0;1;9;607;7;78;301;1,09;66,12;32,79
24/5/2020;930;12;432;498;164;766;0;816;50;64;10;0;1;9;620;13;79;300;1,08;66,67;32,26
25/5/2020;951;21;444;507;173;778;0;833;51;67;10;0;1;9;628;8;80;313;1,05;66,04;32,91
26/5/2020;956;5;446;510;173;783;0;838;51;67;10;0;1;9;634;6;81;312;1,05;66,32;32,64
27/5/2020;984;28;459;525;180;804;0;854;52;78;10;0;1;9;639;5;82;335;1,02;64,94;34,04
28/5/2020;1000;16;470;530;183;817;0;867;53;80;10;0;1;9;646;7;83;344;1;64,6;34,4
29/5/2020;1022;22;480;542;192;830;0;883;55;84;10;0;1;9;653;7;84;359;0,98;63,89;35,13
30/5/2020;1047;25;491;556;206;841;0;905;55;87;10;0;1;9;658;5;85;379;0,96;62,85;36,2
31/5/2020;1056;9;495;561;209;847;0;911;56;89;10;0;1;9;669;11;86;377;0,95;63,35;35,7
1/6/2020;1084;28;510;574;212;872;0;933;58;93;10;0;1;9;676;7;87;398;0,92;62,36;36,72
2/6/2020;1105;21;521;584;217;888;0;951;59;95;10;0;1;9;682;6;88;413;0,9;61,72;37,38
3/6/2020;1157;52;542;615;244;913;0;989;60;108;10;0;1;9;685;3;89;462;0,86;59,2;39,93
4/6/2020;1194;37;561;633;254;940;0;1017;60;117;10;0;1;9;687;2;90;497;0,84;57,54;41,62
5/6/2020;1228;34;576;652;260;968;0;1039;62;127;10;0;1;9;695;8;91;523;0,81;56,6;42,59
6/6/2020;1263;35;592;671;272;991;0;1072;62;129;10;0;1;9;701;6;92;552;0,79;55,5;43,71
7/6/2020;1318;55;613;705;297;1021;0;1120;64;134;10;0;1;9;704;3;93;604;0,76;53,41;45,83
8/6/2020;1342;24;628;714;301;1041;0;1137;66;139;10;0;1;9;712;8;94;620;0,75;53,06;46,2
9/6/2020;1375;33;643;732;309;1066;0;1159;67;149;11;1;2;9;717;5;95;647;0,8;52,15;47,05
10/6/2020;1461;86;678;783;349;1112;0;1228;69;164;12;1;3;9;722;5;96;727;0,82;49,42;49,76
11/6/2020;1538;77;710;828;388;1150;0;1287;72;179;12;0;3;9;722;0;97;804;0,78;46,94;52,28
12/6/2020;1612;74;744;868;410;1202;0;1340;89;183;12;0;3;9;731;9;98;869;0,74;45,35;53,91
13/6/2020;1662;50;762;900;415;1247;0;1374;90;198;12;0;3;9;743;12;99;907;0,72;44,71;54,57
14/6/2020;1715;53;787;928;437;1278;0;1407;90;218;12;0;3;9;752;9;100;951;0,7;43,85;55,45
15/6/2020;1744;29;800;944;447;1297;0;1428;91;225;12;0;3;9;771;19;101;961;0,69;44,21;55,1
16/6/2020;1796;52;818;978;459;1337;0;1460;91;245;12;0;3;9;794;23;102;990;0,67;44,21;55,12
17/6/2020;1871;75;838;1033;486;1385;0;1523;93;255;12;0;3;9;899;105;103;960;0,64;48,05;51,31
18/6/2020;1939;68;864;1075;504;1435;0;1578;97;264;12;0;3;9;937;38;104;990;0,62;48,32;51,06
19/6/2020;2058;119;915;1143;521;1489;48;1678;97;283;12;0;3;9;982;45;105;1064;0,58;47,72;51,7
20/6/2020;2127;69;944;1183;574;1553;0;1734;100;293;12;0;3;9;1014;32;106;1101;0,56;47,67;51,76
21/6/2020;2213;86;979;1234;599;1614;0;1792;103;318;12;0;3;9;1032;18;107;1169;0,54;46,63;52,82
22/6/2020;2277;64;1006;1271;617;1660;0;1839;108;330;12;0;3;9;1043;11;108;1222;0,53;45,81;53,67
23/6/2020;2368;91;1049;1319;652;1716;2;1911;110;347;12;0;3;9;1129;86;109;1227;0,51;47,68;51,82
24/6/2020;2515;147;1123;1392;693;1822;0;1959;114;371;12;0;3;9;1210;81;110;1293;0,48;48,11;51,41
25/6/2020;2684;169;1201;1483;716;1968;0;2077;122;414;12;0;3;9;1227;17;111;1445;0,45;45,72;53,84
26/6/2020;2836;152;1253;1583;763;2073;0;2186;136;438;12;0;3;9;1280;53;112;1544;0,42;45,13;54,44
